iter	Passed	Remaining
634	895	514
635	896	512
636	897	511
637	897	509
638	898	507
639	900	506
640	901	504
641	901	502
642	903	501
643	904	499
644	905	498
645	906	496
646	907	495
647	909	493
648	910	492
649	911	490
650	911	488
651	912	487
652	913	485
653	914	483
654	915	482
655	917	480
656	918	479
657	919	477
658	920	476
659	922	475
660	924	473
661	925	472
662	926	470
663	927	469
664	928	467
665	929	466
666	930	464
667	931	463
668	932	461
669	933	459
670	935	458
671	936	457
672	938	455
673	939	454
674	940	452
675	941	451
676	942	449
677	943	448
678	944	446
679	945	445
680	946	443
681	948	442
682	949	440
683	950	438
684	951	437
685	952	436
686	954	434
687	955	433
688	956	431
689	957	430
690	958	428
691	959	427
692	960	425
693	962	424
694	963	422
695	963	421
696	965	419
697	966	418
698	968	416
699	969	415
700	970	413
701	971	412
702	973	411
703	974	409
704	975	408
705	975	406
706	976	404
707	977	403
708	978	401
709	980	400
710	981	398
711	982	397
712	983	396
713	985	394
714	986	393
715	987	391
716	988	390
717	989	388
718	990	387
719	991	385
720	992	384
721	993	382
722	994	381
723	995	379
724	997	378
725	998	376
726	999	375
727	1000	373
728	1002	372
729	1003	371
730	1004	369
731	1005	368
732	1006	366
733	1007	365
734	1008	363
735	1009	362
736	1010	360
737	1011	359
738	1012	357
739	1013	356
740	1015	354
741	1016	353
742	1017	351
743	1018	350
744	1019	348
745	1020	347
746	1021	345
747	1022	344
748	1023	342
749	1024	341
750	1025	340
751	1026	338
752	1028	337
753	1029	335
754	1030	334
755	1031	332
756	1032	331
757	1033	330
758	1034	328
759	1035	327
760	1036	325
761	1037	324
762	1038	322
763	1039	321
764	1041	319
765	1042	318
766	1044	317
767	1045	315
768	1047	314
769	1048	313
770	1049	311
771	1050	310
772	1051	308
773	1052	307
774	1053	305
775	1054	304
776	1055	302
777	1056	301
778	1058	300
779	1059	298
780	1060	297
781	1061	295
782	1062	294
783	1063	292
784	1064	291
785	1065	289
786	1066	288
787	1067	287
788	1067	285
789	1068	284
790	1069	282
791	1071	281
792	1072	279
793	1073	278
794	1074	277
795	1075	275
796	1076	274
797	1077	272
798	1078	271
799	1079	269
800	1080	268
801	1081	267
802	1082	265
803	1083	264
804	1084	262
805	1085	261
806	1087	259
807	1088	258
808	1089	257
809	1090	255
810	1091	254
811	1092	253
812	1093	251
813	1094	250
814	1095	248
815	1096	247
816	1098	245
817	1098	244
818	1099	243
819	1101	241
820	1102	240
821	1103	238
822	1104	237
823	1105	236
824	1106	234
825	1107	233
826	1108	231
827	1109	230
828	1110	229
829	1111	227
830	1112	226
831	1113	224
832	1114	223
833	1116	222
834	1117	220
835	1118	219
836	1119	218
837	1121	216
838	1122	215
839	1123	213
840	1124	212
841	1125	211
842	1126	209
843	1128	208
844	1129	207
845	1129	205
846	1131	204
847	1132	202
848	1133	201
849	1134	200
850	1135	198
851	1136	197
852	1137	196
853	1138	194
854	1139	193
855	1140	191
856	1141	190
857	1143	189
858	1144	187
859	1145	186
860	1146	185
861	1147	183
862	1148	182
863	1149	180
864	1150	179
865	1151	178
866	1152	176
867	1153	175
868	1154	174
869	1155	172
870	1156	171
871	1157	169
872	1158	168
873	1159	167
874	1160	165
875	1161	164
876	1163	163
877	1164	161
878	1165	160
879	1166	159
880	1167	157
881	1168	156
882	1169	154
883	1170	153
884	1172	152
885	1173	150
886	1174	149
887	1174	148
888	1175	146
889	1177	145
890	1178	144
891	1179	142
892	1181	141
893	1182	140
894	1183	138
895	1184	137
896	1185	136
897	1186	134
898	1187	133
899	1188	132
900	1189	130
901	1190	129
902	1191	127
903	1192	126
904	1194	125
905	1195	124
906	1196	122
907	1197	121
908	1198	120
909	1199	118
910	1200	117
911	1201	115
912	1202	114
913	1203	113
914	1204	111
915	1205	110
916	1207	109
917	1208	107
918	1209	106
919	1211	105
920	1212	103
921	1212	102
922	1213	101
923	1215	99
924	1216	98
925	1217	97
926	1218	95
927	1219	94
928	1220	93
929	1220	91
930	1222	90
931	1223	89
932	1224	87
933	1226	86
934	1226	85
935	1227	83
936	1228	82
937	1229	81
938	1230	79
939	1231	78
940	1232	77
941	1233	75
942	1234	74
943	1235	73
944	1236	71
945	1237	70
946	1239	69
947	1240	68
948	1241	66
949	1242	65
950	1243	64
951	1244	62
952	1245	61
953	1246	60
954	1247	58
955	1248	57
956	1249	56
957	1250	54
958	1251	53
959	1252	52
960	1254	50
961	1255	49
962	1256	48
963	1257	46
964	1258	45
965	1259	44
966	1259	42
967	1261	41
968	1262	40
969	1263	39
970	1264	37
971	1265	36
972	1266	35
973	1267	33
974	1268	32
975	1270	31
976	1271	29
977	1272	28
978	1273	27
979	1274	26
980	1275	24
981	1276	23
982	1277	22
983	1278	20
984	1279	19
985	1280	18
986	1281	16
987	1283	15
988	1284	14
989	1285	12
990	1286	11
991	1288	10
992	1289	9
993	1290	7
994	1291	6
995	1292	5
996	1293	3
997	1294	2
998	1295	1
999	1297	0
